GoodID,GoodName,Description,Country,Articul,RetailPrice,WholesalePrice,RetailPriceWithDiscount,MinQuantityForOrder,Category,WarehouseQuantity,Display,TheSize,Color,Material,FashionName,Sex,ShortName,GoodTypeFull,ProducerCollectionFull,Season,Barcode,Pack,PackSize,PowerSupply,CountUnitsPerBox,Age,Measure,MeasureUnit,Closeout,RetailPricePerUnit,WholesalePricePerUnit,EqualSalePrice,EqualWholesalePrice,EqualCurrencyName,PrimeCost,SuppLierCode,Analogs,WholesaleCount,MesUnit,PriceDiscountPercent,PCName,ModelGoodID,GoodTypeName,SynchronizationSection,GuaranteePeriod,GuaranteeMesUnit,SynchronizationSectionFull,MinWarehouseQuantity,WarehouseQuantityForPartner
34765,Одежда Свитер барашек черн полиэстер GEO1 004 MARELLA N1 M(р),Свитер барашек ,MARELLA,GEO1 004,21500,0,21500,0,-1,2,1,M,черн,полиэстер ,Одежда Свитер барашек черн полиэстер GEO1 004 MARELLA N1,0,,Одежда,MARELLA,зима,2914100333129,,,,,,0,,0,0,0,0,0,,0,,,0,,0,MARELLA,,Одежда,,,0,,0,"3=2,000"
34766,Одежда Свитер барашек черн полиэстер GEO1 004 MARELLA N1 S(р),Свитер барашек ,MARELLA,GEO1 004,21500,0,21500,0,-1,1,1,S,черн,полиэстер ,Одежда Свитер барашек черн полиэстер GEO1 004 MARELLA N1,0,,Одежда,MARELLA,зима,2914100333136,,,,,,0,,0,0,0,0,0,,0,,,0,,0,MARELLA,,Одежда,,,0,,0,"3=1,000"
34767,Одежда Свитер барашек черн полиэстер GEO1 004 MARELLA N1 XL(р),Свитер барашек ,MARELLA,GEO1 004,21500,0,21500,0,-1,1,1,XL,черн,полиэстер ,Одежда Свитер барашек черн полиэстер GEO1 004 MARELLA N1,0,,Одежда,MARELLA,зима,2914100333143,,,,,,0,,0,0,0,0,0,,0,,,0,,0,MARELLA,,Одежда,,,0,,0,"3=1,000"
32294,Одежда свитер беж шерсть GUAINA 001 MARELLA N1 M(р),свитер ,MARELLA,GUAINA 001,18900,0,18900,0,-1,1,1,M,беж,шерсть ,Одежда свитер беж шерсть GUAINA 001 MARELLA N1,0,,Одежда,MARELLA,весна-осень,2914100274958,,,,,,0,,0,0,0,0,0,,0,,,0,,0,MARELLA,,Одежда,,,0,,0,"38=1,000"
32706,Одежда Свитер корот цепь вязка айвори шерсть HUESCA 001 MARELLA N1 L(р),Свитер корот цепь вязка ,MARELLA,HUESCA 001,24900,0,24900,0,-1,1,1,L,айвори ,шерсть ,Одежда Свитер корот цепь вязка айвори шерсть HUESCA 001 MARELLA N1,0,,Одежда,MARELLA,зима,2914100284100,,,,,,0,,0,0,0,0,0,,0,,,0,,0,MARELLA,,Одежда,,,0,,0,"38=1,000"
32707,Одежда Свитер корот цепь вязка айвори шерсть HUESCA 001 MARELLA N1 M(р),Свитер корот цепь вязка ,MARELLA,HUESCA 001,24900,0,24900,0,-1,1,1,M,айвори ,шерсть ,Одежда Свитер корот цепь вязка айвори шерсть HUESCA 001 MARELLA N1,0,,Одежда,MARELLA,зима,2914100284117,,,,,,0,,0,0,0,0,0,,0,,,0,,0,MARELLA,,Одежда,,,0,,0,"38=1,000"
32708,Одежда Свитер корот цепь вязка айвори шерсть HUESCA 001 MARELLA N1 S(р),Свитер корот цепь вязка ,MARELLA,HUESCA 001,24900,0,24900,0,-1,1,1,S,айвори ,шерсть ,Одежда Свитер корот цепь вязка айвори шерсть HUESCA 001 MARELLA N1,0,,Одежда,MARELLA,зима,2914100284124,,,,,,0,,0,0,0,0,0,,0,,,0,,0,MARELLA,,Одежда,,,0,,0,"38=1,000"
32709,Одежда Свитер корот цепь вязка гор полос свет кор шерсть HUESCA 012 MARELLA N1 L(р),Свитер корот цепь вязка гор полос ,MARELLA,HUESCA 012 ,24900,0,24900,0,-1,1,1,L,свет кор ,шерсть ,Одежда Свитер корот цепь вязка гор полос свет кор шерсть HUESCA 012 MARELLA N1,0,,Одежда,MARELLA,зима,2914100284131,,,,,,0,,0,0,0,0,0,,0,,,0,,0,MARELLA,,Одежда,,,0,,0,"38=1,000"
32710,Одежда Свитер корот цепь вязка гор полос свет кор шерсть HUESCA 012 MARELLA N1 M(р),Свитер корот цепь вязка гор полос ,MARELLA,HUESCA 012 ,24900,0,24900,0,-1,1,1,M,свет кор ,шерсть ,Одежда Свитер корот цепь вязка гор полос свет кор шерсть HUESCA 012 MARELLA N1,0,,Одежда,MARELLA,зима,2914100284148,,,,,,0,,0,0,0,0,0,,0,,,0,,0,MARELLA,,Одежда,,,0,,0,"38=1,000"
32711,Одежда Свитер корот цепь вязка гор полос свет кор шерсть HUESCA 012 MARELLA N1 S(р),Свитер корот цепь вязка гор полос ,MARELLA,HUESCA 012 ,24900,0,24900,0,-1,1,1,S,свет кор ,шерсть ,Одежда Свитер корот цепь вязка гор полос свет кор шерсть HUESCA 012 MARELLA N1,0,,Одежда,MARELLA,зима,2914100284155,,,,,,0,,0,0,0,0,0,,0,,,0,,0,MARELLA,,Одежда,,,0,,0,"38=1,000"
32712,Одежда Свитер кр ворот цветн принт салатов трикотаж ROTAIA 001 MARELLA N1 L(р),Свитер кр ворот цветн принт ,MARELLA,ROTAIA 001,23500,0,23500,0,-1,1,1,L,салатов ,трикотаж,Одежда Свитер кр ворот цветн принт салатов трикотаж ROTAIA 001 MARELLA N1,0,,Одежда,MARELLA,весна-осень,2914100284162,,,,,,0,,0,0,0,0,0,,0,,,0,,0,MARELLA,,Одежда,,,0,,0,"38=1,000"
32713,Одежда Свитер кр ворот цветн принт салатов трикотаж ROTAIA 001 MARELLA N1 M(р),Свитер кр ворот цветн принт ,MARELLA,ROTAIA 001,23500,0,23500,0,-1,2,1,M,салатов ,трикотаж,Одежда Свитер кр ворот цветн принт салатов трикотаж ROTAIA 001 MARELLA N1,0,,Одежда,MARELLA,весна-осень,2914100284179,,,,,,0,,0,0,0,0,0,,0,,,0,,0,MARELLA,,Одежда,,,0,,0,"38=2,000"
32715,Одежда Свитер кр ворот цветн принт салатов трикотаж ROTAIA 001 MARELLA N1 XL(р),Свитер кр ворот цветн принт ,MARELLA,ROTAIA 001,23500,0,23500,0,-1,1,1,XL,салатов ,трикотаж,Одежда Свитер кр ворот цветн принт салатов трикотаж ROTAIA 001 MARELLA N1,0,,Одежда,MARELLA,весна-осень,2914100284193,,,,,,0,,0,0,0,0,0,,0,,,0,,0,MARELLA,,Одежда,,,0,,0,"38=1,000"
